GCS_Lat,GCS_Long,count
37.20444521,-113.6029439,1.0
40.72542482,-111.8714924,1.0
40.67451797,-111.9054462,1.0
40.56612038,-112.0936286,1.0
40.89225925,-111.8723954,1.0
40.57108837,-111.8006504,1.0
40.64914936,-111.9869214,1.0
41.26188488,-111.7702237,1.0
40.69985777,-111.9037739,1.0
37.18350794,-113.7638614,1.0
40.58075746,-111.8721931,1.0
40.65312295,-111.9429927,2.0
40.36975183,-111.8490976,1.0
41.24681533,-111.9698935,1.0
41.29457926,-111.9945952,1.0
40.73350491,-111.8451052,1.0
40.69983312,-109.4919876,1.0
40.66643861,-111.8649321,1.0
40.53696005,-112.0290708,1.0
40.34547394,-111.7617242,1.0
40.14422304,-111.646975,1.0
40.67497743,-111.8655376,1.0
40.64484519,-111.943941,1.0
38.35936258,-110.8721602,1.0
40.50354334,-111.8918884,1.0
40.42914481,-111.8890317,1.0
40.64673966,-111.8545415,1.0
37.13395807,-113.5065214,1.0
40.52677998,-112.3102647,1.0
41.2243284,-111.7887263,1.0
41.13181296,-112.0548512,1.0
40.87473431,-111.8856416,1.0
38.47145724,-111.8331024,1.0
40.45325312,-111.9138662,1.0
40.55885483,-111.8905229,1.0
39.97138324,-112.0643745,1.0
41.75745961,-111.827242,1.0
40.68226546,-111.8997367,1.0
40.500786,-111.887301,1.0
40.24788485,-111.6431202,1.0
37.10861638,-113.5833038,1.0
40.56216457,-111.9282725,1.0
37.17088882,-113.3668866,1.0
40.67444501,-111.9043712,1.0
40.29755053,-111.6630466,1.0
37.11700392,-113.5484768,1.0
37.11618492,-113.5422827,1.0
40.4676013,-111.7681361,1.0
41.17763877,-111.9758771,1.0
40.63851225,-111.8345596,1.0
40.74041763,-111.958058,1.0
41.2572029,-111.969689,1.0
40.87472894,-111.8922034,1.0
40.69650805,-112.0504714,1.0
41.23099497,-111.9702323,1.0
40.69648485,-112.0870323,1.0
40.76270989,-111.8910543,1.0
40.74096005,-111.8867443,1.0
40.68211815,-111.9716477,1.0
41.19789652,-111.9817475,1.0
40.772972,-111.8406623,1.0
40.36116932,-111.7357457,1.0
40.48467501,-111.8795023,1.0
37.11763174,-113.5494544,1.0
40.58472527,-111.9864357,1.0
40.05299623,-111.6464945,1.0
37.12849667,-113.5199431,1.0
40.23904092,-111.6586519,1.0
41.12812561,-112.1125818,1.0
40.69982904,-111.9477939,1.0
40.28632507,-110.0051859,1.0
41.22679038,-111.9592412,1.0
37.12647162,-113.616718,1.0
37.09625584,-113.5648082,1.0
40.71974689,-111.9389713,1.0
39.58148745,-112.6210925,1.0
41.16219063,-112.0644051,1.0
40.69648474,-112.0822506,1.0
40.12294116,-111.6812135,1.0
40.54425645,-111.9179638,1.0
41.15759091,-112.0260362,1.0
41.24972989,-111.9780994,1.0
41.16172737,-112.0256427,1.0
40.15297956,-111.7271339,1.0
40.7085008,-112.0973182,1.0
40.36360839,-111.4047598,1.0
40.25064117,-111.6561423,1.0
40.48523401,-111.4821323,1.0
40.56877834,-111.9482122,1.0
40.63841557,-112.0589616,1.0
40.88433159,-111.8922255,1.0
41.2226455,-111.9620592,1.0
40.68699693,-111.888251,1.0
40.72410222,-111.538664,1.0
40.62086497,-111.9057552,1.0
40.5442558,-111.9180465,1.0
41.10849891,-112.0068594,1.0
40.72177448,-111.5443275,1.0
37.13031135,-113.5267393,1.0
40.52682184,-111.8956848,1.0
40.62400955,-111.9482726,1.0
40.69662266,-111.9388951,1.0
40.6986721,-111.7947335,1.0
40.16109225,-111.6125949,1.0
41.18634024,-111.9490162,1.0
40.88430041,-111.8719987,1.0
40.55241194,-112.0307716,1.0
40.63022356,-112.2912125,1.0
40.33181107,-111.9107113,1.0
40.70874652,-112.0548662,1.0
40.240426,-111.6474035,1.0
40.51256725,-112.0752509,1.0
41.08917253,-111.9844425,1.0
40.01143236,-111.8201504,1.0
38.57648967,-109.4404603,1.0
40.05787777,-111.6713377,1.0
40.76065095,-111.8632612,1.0
37.1210459,-113.6237268,1.0
40.58773366,-111.9132878,1.0
37.21766296,-113.2776623,1.0
37.595707,-113.6615735,1.0
40.34241355,-111.7599664,1.0
41.19145218,-111.9711627,1.0
41.30978171,-111.8252966,1.0
41.04177578,-111.991122,1.0
40.68200539,-113.2916134,1.0
40.56192541,-111.9810619,1.0
40.61782717,-111.8574714,1.0
40.26743784,-111.6559192,1.0
40.25578953,-111.6586026,1.0
40.69985498,-111.8171296,1.0
41.75012913,-111.813893,1.0
40.2414746,-111.6431405,1.0
40.37019944,-111.7692111,1.0
40.2506173,-111.6619153,1.0
37.13389008,-113.6032731,1.0
37.1156445,-113.4568185,1.0
40.36117375,-111.7320634,1.0
41.7262706,-111.8351013,1.0
39.12768943,-111.7539141,1.0
41.21020111,-111.9707123,1.0
40.69659401,-111.9939677,1.0
41.12259221,-112.0591502,1.0
40.7507431,-111.8376733,1.0
41.0718819,-111.9779731,1.0
40.25213481,-111.6706195,1.0
41.18636726,-111.9490166,1.0
40.35576887,-111.7538396,1.0
40.67436836,-111.8912178,1.0
40.78901028,-111.9392826,1.0
38.61342509,-109.6111874,1.0
40.60593987,-111.9076886,1.0
37.14120913,-113.8186869,1.0
40.62542734,-111.597734,1.0
40.53715859,-111.853183,1.0
40.58802284,-111.899395,1.0
40.55103365,-112.298087,1.0
40.5902233,-111.9387288,1.0
40.41376047,-111.7519657,1.0
40.55624787,-111.9030091,1.0
39.39170049,-111.0927005,1.0
37.0742534,-113.5222789,1.0
41.25320289,-111.9697612,1.0
40.62397723,-111.8248515,1.0
40.22968901,-111.6586906,2.0
40.57338261,-111.9771615,1.0
41.24435248,-111.9756691,1.0
41.1981722,-112.0258046,1.0
40.69193894,-111.8331643,1.0
40.62444556,-111.765594,1.0
40.77936169,-111.7218403,1.0
40.18667332,-111.6448796,1.0
40.74162813,-111.8736275,2.0
41.16409128,-112.0260284,1.0
40.18583768,-111.6456531,1.0
41.08883126,-111.9501309,1.0
40.75629037,-111.8824961,1.0
40.29713198,-111.7011053,1.0
40.87096693,-111.8729164,1.0
41.42238365,-112.0357704,1.0
40.61910273,-111.789443,1.0
41.25289657,-111.9697686,1.0
40.67423037,-111.8294289,1.0
41.92505048,-111.4710617,1.0
41.74472199,-111.8319128,1.0
40.28273708,-111.6584641,1.0
37.69576314,-113.0871402,1.0
37.19702046,-113.2745326,1.0
40.57246107,-111.8305059,1.0
40.85838511,-111.9205782,1.0
40.71719357,-111.8882497,1.0
40.52088707,-112.2894795,1.0
41.76130522,-111.833923,1.0
37.1122582,-113.5206208,1.0
41.17626942,-112.0644423,1.0
41.16742266,-112.025856,1.0
37.08876102,-113.5569698,1.0
39.90196233,-111.6717087,1.0
41.72256139,-112.4280776,1.0
40.41727953,-111.7734482,1.0
40.67447019,-112.028737,1.0
40.73982866,-111.8653311,1.0
41.16453193,-112.0063697,1.0
40.69987255,-111.885593,1.0
41.21958688,-112.0165566,1.0
40.68787181,-111.9111822,1.0
37.07705298,-113.5914742,1.0
40.62073753,-111.9023283,1.0
41.29326514,-111.8153794,1.0
41.12162257,-112.0714988,1.0
40.58148602,-112.0048442,1.0
41.00350373,-111.9030769,1.0
40.60951801,-111.936741,1.0
40.66849623,-111.8805806,1.0
37.57012962,-113.7008189,1.0
40.40713195,-111.9214132,1.0
40.53657222,-111.8972897,1.0
40.88427494,-111.8831721,1.0
40.85412973,-111.9022724,1.0
39.08836198,-111.1298374,1.0
39.18464758,-111.0340063,1.0
40.6744712,-112.037205,1.0
40.52838941,-111.8563156,1.0
40.67874044,-112.0247282,1.0
39.94991231,-111.8145171,1.0
40.10930765,-111.6323356,2.0
41.75732598,-111.8138516,1.0
40.7127974,-111.8882504,1.0
41.69403727,-111.7990347,1.0
41.07520652,-111.9742826,1.0
38.68875897,-109.6852317,1.0
41.2563984,-111.8306519,1.0
40.59916751,-111.896102,1.0
40.24798736,-111.6586211,1.0
37.13754973,-113.504309,1.0
37.10639673,-113.5581289,1.0
37.16860287,-113.6536615,1.0
37.18215667,-113.2798662,1.0
41.18727733,-111.948982,1.0
40.21978947,-109.6831472,1.0
40.85483737,-111.9103794,1.0
40.27870692,-111.6763382,1.0
41.23094763,-111.9575957,1.0
40.31186459,-111.7346668,1.0
41.10125196,-111.9391447,1.0
41.71125949,-112.183364,1.0
40.27360651,-111.7071693,1.0
40.67055771,-111.9815248,1.0
38.53467575,-109.5998446,1.0
40.53699643,-111.8913678,1.0
41.25481578,-111.8657365,1.0
40.71268847,-111.8537385,1.0
40.6239102,-112.0449823,1.0
41.06988449,-111.9758657,1.0
40.8938329,-111.8856129,1.0
40.88424978,-111.8946458,1.0
40.52252375,-112.0060303,1.0
40.71606102,-112.0249095,1.0
40.69659131,-111.9963704,1.0
40.49831597,-111.8849743,1.0
37.11675254,-113.4661021,1.0
40.45573474,-111.762269,1.0
40.5784065,-111.6756548,1.0
40.70805379,-112.0205687,1.0
41.3363522,-111.6067687,1.0
40.24300905,-111.6435241,1.0
40.58054881,-111.8638894,1.0
40.75851938,-111.8710593,1.0
40.77457289,-111.7370215,1.0
40.71909763,-111.8712329,1.0
40.37695316,-111.8145609,1.0
40.51215456,-111.4722569,1.0
37.12955127,-113.5260387,1.0
41.49600033,-112.016039,1.0
40.29713136,-111.6991517,1.0
38.57202437,-109.5507914,1.0
41.4082789,-112.0495924,1.0
41.37097085,-111.5907323,1.0
40.70388418,-111.9935042,1.0
40.87473173,-111.8857352,1.0
41.12532791,-112.0260194,1.0
40.16291349,-111.6106385,1.0
40.5764435,-111.8263048,1.0
40.35404323,-111.7642111,1.0
37.57358252,-113.7087472,1.0
40.66833096,-111.8882753,1.0
40.69725737,-111.947213,1.0
39.36135391,-111.5870815,1.0
40.5508221,-112.3215435,1.0
40.23400061,-111.684206,1.0
37.10706066,-113.5930713,1.0
41.25941616,-111.9894128,1.0
40.62004033,-111.590687,1.0
40.82230078,-111.6634319,1.0
40.37389253,-111.785391,1.0
40.61504654,-111.5806063,1.0
40.98420707,-111.9083666,1.0
40.73254321,-111.9977659,1.0
40.7110309,-112.0273185,1.0
40.50313753,-111.8526208,1.0
40.67622938,-111.94183,1.0
40.77816885,-111.7300599,1.0
40.53109561,-112.2788824,1.0
40.38505926,-111.7947603,1.0
40.37608752,-111.9015923,1.0
41.16441398,-111.9685771,1.0
40.35428801,-111.7639784,1.0
40.01167939,-111.7868476,1.0
40.12282408,-111.6357416,1.0
40.65373696,-111.9102602,1.0
40.57891961,-111.6749451,1.0
37.67733657,-113.0680679,1.0
40.58815597,-111.8785872,1.0
37.680863,-113.0740439,1.0
41.20770527,-111.9568035,1.0
40.27150917,-111.6837252,2.0
40.59828444,-111.9673127,1.0
41.00070796,-111.910913,1.0
40.20853864,-111.6452544,1.0
41.15439334,-112.0260558,1.0
41.19394233,-112.0930556,1.0
41.67515038,-111.868631,1.0
40.88704578,-111.8691671,1.0
40.16042057,-111.6495093,1.0
39.60101111,-110.8052285,1.0
40.5269255,-111.866273,1.0
37.12526602,-113.6330085,1.0
39.52845687,-110.7789607,1.0
40.27341595,-111.6845701,1.0
41.05619196,-111.9575291,1.0
40.65511283,-112.0371972,1.0
40.57377948,-112.2949469,1.0
40.30216277,-109.9823612,1.0
37.72901495,-113.0538853,1.0
41.18051739,-111.9943101,1.0
41.18950145,-111.9823786,1.0
40.54411859,-111.9786609,1.0
41.22520003,-111.9787682,1.0
40.38719825,-111.8613964,1.0
40.6998718,-111.8713263,1.0
40.46868454,-111.822466,1.0
40.6479411,-111.9388038,1.0
40.71869931,-111.8909932,1.0
40.765001,-111.8710604,1.0
40.66762945,-111.958297,1.0
40.48503098,-109.5003399,1.0
40.69662581,-111.9451327,1.0
40.52819175,-111.8548166,1.0
40.70600808,-111.9674374,1.0
40.66990165,-111.9865873,1.0
40.50002361,-109.3740684,1.0
41.18749382,-112.0258659,1.0
41.16733343,-111.9269395,1.0
40.54281509,-112.2983298,1.0
40.53598255,-112.2835311,1.0
40.70571354,-111.8528326,1.0
40.31759092,-111.8973618,1.0
37.09959224,-113.621099,1.0
41.73667983,-111.8192307,1.0
40.73181471,-111.2672973,1.0
40.4945147,-111.4135667,1.0
40.37683064,-111.8061696,1.0
41.19133191,-112.0475743,1.0
40.49862498,-111.4080073,1.0
38.57242,-109.2930366,2.0
41.76414216,-111.8342328,1.0
40.98676808,-111.9089521,1.0
40.76498383,-111.8653317,1.0
40.45417296,-109.5453507,1.0
40.14489628,-111.5787207,1.0
37.12283523,-113.520768,1.0
41.71130815,-112.1803838,1.0
40.53818876,-111.9842071,1.0
40.67431517,-111.8859712,1.0
40.70711814,-111.9800134,1.0
41.32883397,-111.8241251,1.0
40.69958422,-111.8654612,1.0
37.13291615,-113.6530489,1.0
40.65318272,-111.9673481,1.0
40.37681958,-111.8012808,1.0
37.10132767,-113.5556376,1.0
41.07870831,-111.9734891,1.0
40.38388897,-111.9129965,1.0
40.71578542,-111.9841186,1.0
40.62362495,-111.7629953,1.0
40.62409589,-111.9295514,1.0
40.99002221,-111.905071,1.0
41.75030678,-111.8589998,1.0
40.65437618,-111.9045793,1.0
40.52870408,-111.8895814,1.0
40.62732847,-111.9448863,1.0
41.03810047,-111.9398407,1.0
37.10962591,-113.5228899,1.0
40.69666363,-111.9482106,1.0
40.49179084,-112.3739589,1.0
41.06050647,-111.9665346,1.0
40.7338542,-111.9389683,1.0
41.0891224,-112.0069207,1.0
41.16688587,-112.0205445,1.0
40.44706055,-109.5246033,1.0
41.0746574,-111.9921593,1.0
40.49085814,-111.8765795,1.0
40.58809596,-111.8859363,1.0
41.03809283,-111.9385676,1.0
40.58896596,-109.5778138,1.0
41.03918543,-111.6789493,1.0
41.01894559,-111.6756436,1.0
40.3602609,-111.7599003,1.0
40.69980706,-111.8882554,1.0
41.32074052,-111.8296453,1.0
40.71849466,-111.9389774,1.0
40.16108945,-111.6114206,1.0
40.76064733,-111.8968131,2.0
40.64926845,-111.9796397,1.0
41.12086276,-112.0260183,1.0
40.86163758,-111.9205526,1.0
39.58161361,-111.1889499,1.0
40.75851604,-111.951063,1.0
37.11850559,-113.5435982,1.0
37.06032113,-113.5851104,1.0
40.16606787,-111.7366432,1.0
40.24430829,-111.6480276,1.0
40.69661551,-111.9419842,1.0
41.30400568,-111.9687217,1.0
40.65310162,-111.9576241,1.0
40.62380108,-111.7526283,1.0
40.69986507,-111.8818644,1.0
41.76487427,-111.8188554,1.0
40.70759139,-111.9579781,1.0
40.58800781,-111.9025819,1.0
40.52496553,-111.8511363,1.0
40.66590716,-111.8445613,1.0
41.24143141,-111.9783976,1.0
41.75013686,-111.8140735,1.0
41.74097001,-111.8361186,1.0
40.71115852,-111.9726375,1.0
40.35674852,-111.7374502,1.0
39.97042632,-111.778517,1.0
40.68213779,-111.9530813,1.0
40.2337478,-111.6688864,1.0
40.74544582,-111.6485082,1.0
40.66613413,-111.88611,1.0
40.72540996,-111.9021065,1.0
40.66823698,-111.5154635,1.0
40.883906,-111.88488,1.0
37.65078796,-112.9772634,1.0
40.63290621,-111.834252,1.0
40.26255519,-111.7078186,1.0
40.58047963,-111.8438135,1.0
40.84787739,-111.9137896,1.0
41.51754526,-111.1658828,1.0
41.05494364,-111.9608102,1.0
40.85356294,-111.9090628,1.0
41.87595677,-111.9486291,1.0
37.10980485,-113.5593261,1.0
40.08659689,-111.6688163,1.0
39.61383116,-111.444368,1.0
37.18311481,-113.1341065,1.0
40.7419159,-111.8710573,1.0
40.7584707,-111.8882184,1.0
40.69366382,-111.9028552,1.0
40.50220664,-111.8817815,1.0
41.24464635,-112.0094955,1.0
41.81297445,-111.6248264,1.0
40.76949617,-112.1532566,1.0
40.75347807,-111.3777564,1.0
40.49471736,-111.0365115,1.0
38.28494154,-111.1970235,1.0
41.053534,-111.5944457,1.0
37.98809622,-112.7335575,1.0
