GCS_Lat,GCS_Long,count
40.2399179,-111.6431334,1.0
40.24042019,-111.6729191,1.0
40.77686293,-111.9794843,1.0
40.68208282,-111.9865953,1.0
41.73621576,-111.8348345,1.0
40.74161451,-111.893941,1.0
41.24464635,-112.0094955,1.0
40.60944432,-111.9674365,1.0
40.72541896,-111.8653303,1.0
40.25058895,-111.6632962,1.0
37.14079313,-113.4853703,1.0
40.76065829,-111.8743062,1.0
40.5732706,-111.8723644,1.0
40.26032223,-111.671758,1.0
41.11061366,-112.0345468,1.0
40.58815091,-111.8780672,1.0
40.72192338,-111.8584388,1.0
40.60588583,-111.8721919,1.0
40.77056899,-111.8882255,1.0
40.24299234,-111.6465219,1.0
40.76282659,-111.8853577,1.0
37.16828575,-113.6815807,1.0
40.25061007,-111.6647489,1.0
40.71116694,-111.8548319,1.0
40.28197028,-111.6474695,1.0
40.77165698,-111.8872915,1.0
40.61093524,-111.904373,1.0
37.67698348,-113.0835476,1.0
40.67115462,-111.9673712,1.0
40.69583937,-111.8492743,1.0
40.68156081,-111.8769938,1.0
41.06151312,-111.9452386,1.0
40.76041351,-111.876778,1.0
40.73115706,-111.8910904,1.0
40.6372801,-111.8083128,1.0
40.76501869,-111.8825033,1.0
40.53426434,-112.2984717,1.0
37.11011543,-113.5621141,1.0
37.09007413,-113.5856189,1.0
40.73315441,-111.9682025,1.0
40.91710477,-111.8855372,1.0
40.69967304,-111.9112285,1.0
41.08918075,-112.0645594,1.0
40.65305816,-111.9863308,1.0
40.62446933,-111.932879,1.0
40.72272609,-111.9389599,2.0
40.72272609,-111.9389599,2.0
40.53016236,-111.8526928,1.0
40.7415996,-111.905381,1.0
40.2567205,-111.6752744,1.0
40.53061491,-112.3089327,1.0
40.52676493,-111.8817488,1.0
41.72773895,-111.8350722,1.0
40.69860869,-111.9472085,1.0
40.76935234,-111.8670834,1.0
40.75127808,-111.9233714,1.0
40.76051202,-111.8939507,1.0
40.24584439,-111.6430854,1.0
40.66745796,-111.9878778,1.0
40.54296032,-111.9291457,1.0
40.66706475,-111.8839922,1.0
41.08915551,-112.001165,1.0
40.70424315,-112.0376011,1.0
40.24038246,-111.6586493,1.0
40.2892328,-111.6584566,1.0
40.72588272,-111.9389533,1.0
40.52922312,-111.9961151,1.0
40.52230071,-111.9506376,1.0
40.8634824,-111.8923768,1.0
40.6870958,-111.8450804,1.0
