GCS_Lat,GCS_Long,count
40.69586472,-111.8782656,1.0
40.76390716,-111.8939518,1.0
40.60954644,-111.8841722,1.0
40.68205863,-112.0152058,1.0
40.36975183,-111.8490976,1.0
40.59166509,-111.8820934,1.0
41.15443657,-112.0260562,1.0
40.76064662,-111.8910908,1.0
40.62068272,-111.900657,1.0
40.67867364,-111.9484312,1.0
40.72542123,-111.8825501,1.0
40.67470354,-112.005639,1.0
40.60341371,-111.997433,1.0
40.23369257,-111.6517233,1.0
41.51040269,-112.0173661,1.0
40.64909797,-111.8790431,1.0
40.76935132,-111.8710206,1.0
40.67445627,-111.9028027,1.0
41.24843141,-111.9541676,1.0
40.54255376,-112.2983366,1.0
41.18471029,-111.9713148,1.0
40.92151807,-111.8857618,1.0
40.62073673,-111.9024878,2.0
40.73350516,-111.8595252,1.0
40.87116548,-111.8764316,1.0
40.34528686,-111.7035883,1.0
40.69915226,-111.9735382,1.0
40.68318651,-111.8260058,1.0
40.69988272,-111.865246,1.0
40.68933103,-111.9579887,1.0
40.69296954,-111.8882593,1.0
40.75846052,-111.8653313,1.0
40.66424728,-111.9247978,1.0
40.78454758,-111.9168428,1.0
40.27297765,-111.6760494,1.0
40.65279108,-111.9964518,1.0
41.21455261,-111.9706216,1.0
39.34149075,-111.5471191,1.0
40.62225613,-111.8659925,1.0
40.66724197,-112.0056702,2.0
40.68215505,-111.9388814,1.0
41.05620208,-111.958086,1.0
41.22735149,-111.9759093,1.0
40.69663007,-111.9674556,1.0
40.62215407,-111.8659936,1.0
40.72476398,-111.8214196,1.0
40.74978179,-111.8853191,1.0
40.62442933,-111.8604204,1.0
40.63330361,-111.8900177,1.0
40.76499421,-111.8996677,1.0
40.69292951,-111.977076,1.0
40.75861802,-111.9390205,1.0
40.69985851,-111.9036792,1.0
40.70395534,-111.938927,1.0
40.37683834,-111.8063582,1.0
40.76664477,-111.8767829,1.0
40.25410792,-111.673708,1.0
40.26371453,-111.6381652,1.0
41.19781702,-111.9729138,1.0
40.65529759,-111.9578802,1.0
