GCS_Lat,GCS_Long,count
41.0661609,-111.9106039,1.0
40.4201692,-111.885546,1.0
39.71241081,-111.7798779,1.0
40.31200117,-111.669093,1.0
40.37456427,-109.8216764,1.0
41.2301435,-111.787931,1.0
38.55538648,-109.5912748,1.0
40.79119365,-111.6807148,1.0
38.30254173,-111.4632208,1.0
40.16937902,-110.3026559,1.0
40.57139815,-111.4207146,1.0
40.99010712,-111.9073244,1.0
40.9087638,-111.3998338,1.0
41.60397269,-111.9767955,1.0
39.02953658,-112.3444751,1.0
37.24224263,-112.8143565,1.0
40.32717577,-111.6415094,1.0
40.20020113,-110.9921631,1.0
40.40647702,-109.3434397,1.0
37.08237041,-112.5390467,1.0
41.014638,-111.894191,1.0
41.49169102,-111.9985509,1.0
40.56249039,-112.0629378,1.0
39.44362774,-112.4525354,1.0
37.26420547,-113.6364361,1.0
40.08530153,-111.6914887,1.0
41.13749451,-111.9140324,1.0
40.69983312,-109.4919876,1.0
41.13985984,-111.9156381,1.0
40.38809445,-111.5489857,1.0
41.67547831,-111.8829903,1.0
37.21939906,-113.2758696,1.0
38.40681799,-112.2312576,1.0
37.7777216,-113.0552454,1.0
41.18764637,-111.9489641,1.0
40.17146117,-110.5636045,1.0
37.04590184,-112.7218169,1.0
41.73270173,-111.8349425,1.0
40.8914841,-111.9118069,1.0
37.85586801,-109.3368889,1.0
40.53418426,-109.5222499,1.0
40.67654701,-111.4679838,1.0
40.69378189,-111.8485422,1.0
37.83566701,-112.4377774,1.0
41.85388083,-111.8317232,1.0
37.13379401,-113.5901135,1.0
37.28737625,-113.6576386,1.0
37.26289773,-113.2949663,1.0
39.22837592,-111.041167,1.0
39.54055734,-111.534087,2.0
41.53551315,-111.9582592,1.0
37.61357558,-112.4660787,2.0
41.05023124,-111.6046334,1.0
41.138527,-111.811452,1.0
39.63846692,-111.4198414,1.0
37.76951877,-109.3730559,1.0
40.6881978,-112.0918235,1.0
40.43924501,-109.563565,1.0
37.76058997,-109.3940581,1.0
41.36255327,-111.5924546,1.0
41.93852255,-111.8138521,1.0
40.82414671,-111.9487968,1.0
40.64351413,-111.8119123,1.0
41.15110824,-111.9347688,1.0
41.00891211,-111.4801682,1.0
39.66801648,-111.8507014,1.0
37.75355903,-109.3989395,1.0
41.92168205,-111.8143485,1.0
40.25823364,-110.120661,1.0
41.31475409,-111.8452472,1.0
41.227841,-111.975476,1.0
40.56274581,-111.4238762,1.0
40.706736,-111.478246,1.0
39.62841726,-110.8459246,1.0
40.31642565,-111.6515648,1.0
40.47815749,-111.9833685,1.0
40.18598651,-111.6106691,1.0
40.30744665,-110.0056763,2.0
40.47934401,-111.983064,1.0
41.80063468,-111.8334662,1.0
41.14497552,-111.9191292,1.0
38.60313228,-112.2404425,1.0
40.19972485,-110.7767491,1.0
40.58772949,-111.9103926,1.0
40.33826291,-111.7172108,1.0
37.75961324,-113.0924295,1.0
40.65876164,-112.0817707,1.0
40.56330091,-112.0630437,1.0
39.37650253,-110.821485,1.0
40.37521169,-111.8674282,1.0
39.98414049,-111.7647702,1.0
41.25090845,-112.0251895,1.0
37.81071111,-112.9327884,1.0
41.74029509,-111.8098484,1.0
40.95834942,-111.8833493,1.0
40.61301307,-112.0548367,1.0
41.7224958,-111.8352208,1.0
40.425469,-109.9246403,1.0
37.3229221,-113.6919741,1.0
40.71678361,-111.3946101,1.0
40.73719262,-111.3630613,1.0
40.66065476,-112.0854685,1.0
40.48935162,-112.0103857,1.0
40.36936763,-111.7390415,1.0
37.17180046,-113.0893246,1.0
39.25068423,-111.6432234,1.0
41.24902654,-112.228493,1.0
41.32195374,-112.0028857,1.0
40.65337334,-111.9387972,1.0
41.83963151,-111.832611,1.0
40.50506373,-111.8485797,1.0
40.68820591,-112.0918209,1.0
41.1854663,-111.9490393,1.0
40.3265659,-111.7006542,1.0
39.09412385,-111.1321277,1.0
39.13092045,-111.1011547,1.0
40.426031,-111.893919,1.0
40.76390537,-111.9390949,1.0
40.4676013,-111.7681361,1.0
